x,y,WeightedProbabiliticGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0.00000727251917425183,0
0,6,0.0000479598936903923,0
0,8,0.000133967992849967,0
0,10,0.000284345700382562,0
0,12,0.000438192236166349,0
0,14,0.000493109381705921,0.001
0,16,0.000413525333575199,0
0,18,0.000251897998623953,0
0,20,0.000162609796245384,0
0,22,0.000288537660944906,0
0,24,0.000852508196288956,0
0,26,0.002524435065714,0.001
0,28,0.00637712958678916,0.002
0,30,0.0142229904087334,0.004
0,32,0.0275289301181771,0.005
0,34,0.0434444283333418,0.005
0,36,0.0524437566801812,0.005
0,38,0.0472451289240481,0.003
0,40,0.0321962331071984,0.002
0,42,0.0177963473010955,0.001
0,44,0.00906579508836193,0.001
0,46,0.00468206698448082,0.001
0,48,0.00223672291577155,0.001
0,50,0.00082927890697842,0
0,52,0.000260930389333831,0
0,54,0.0000776079521593317,0
0,56,0.000060189787904451,0
0,58,0.000130646192803715,0
0,60,0.000293985768027179,0
0,62,0.00056223455605313,0.001
0,64,0.000874866701645086,0.001
0,66,0.00109984237592551,0.001
0,68,0.00133802055111566,0.001
0,70,0.00173876092974289,0.002
0,72,0.00214749621079928,0.002
0,74,0.00215985597282504,0.002
0,76,0.00162710918227245,0.002
0,78,0.000891090264623474,0.001
0,80,0.000347045483621541,0.001
2,0,0.0000235237100654801,0
2,2,0.0000485792737757873,0
2,4,0.000125105657473217,0
2,6,0.000324824841157212,0
2,8,0.000759243432968739,0
2,10,0.00151161074871835,0.001
2,12,0.00236352909473805,0.001
2,14,0.00267212797425908,0.001
2,16,0.00221602494204076,0.001
2,18,0.0014823844901773,0.001
2,20,0.00106259943943079,0
2,22,0.00144793729527447,0
2,24,0.00331308778027895,0.001
2,26,0.00787286583943048,0.002
2,28,0.0169693199138103,0.003
2,30,0.0334151792152272,0.005
2,32,0.0601096423528848,0.006
2,34,0.0927893339466916,0.006
2,36,0.11411887006855,0.005
2,38,0.107761354556776,0.004
